period,start,end,pred_hash,hold_thresh,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,average_number_of_positions,n_backtest_days
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,30,-0.14595374672492276,-0.14581697096250737,0.00013677576241538647,-0.47008245058375636,-0.7856815262810508,0.005746880773755101,21.927435387673956,1006
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,-1.0871761876237025,-1.0831793911019911,0.0039967965217113655,-2.691245657528888,-0.356792210820736,0.16793262696266797,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,2,-1.4483009498818726,-1.443753500488211,0.0045474493936616955,-2.9290021901621697,-0.45548594491486083,0.19106930225468785,19.838709677419356,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,3,-1.3007829870331837,-1.2976447256555965,0.003138261377587215,-2.602370624959019,-0.4817989094267803,0.13185972174737287,20.35483870967742,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,4,-1.3235530341226627,-1.3206462194730804,0.002906814649582312,-3.212226150455974,-0.4089209770857643,0.12213506931016678,20.370967741935484,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,-0.50317306609773,-0.5005578127530241,0.0026152533447059145,-1.189981252041552,-0.28582323897310563,0.10988459431537043,20.56451612903226,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,6,-1.1237988619808466,-1.1210422780609108,0.002756583919935718,-2.1673622756952384,-0.46726784554088774,0.11582285377879944,20.516129032258064,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,8,-1.1558872163221297,-1.153652909004961,0.002234307317168671,-2.1184042914644916,-0.39938145081560683,0.0938784587045644,20.822580645161292,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,-1.222320305841283,-1.2200721380874302,0.0022481677538528366,-2.550991127547552,-0.4154317861239713,0.09446082999381199,20.774193548387096,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,15,-1.4238341456666823,-1.422193052789646,0.0016410928770362876,-2.96549593239167,-0.473868930451032,0.06895348222841748,21.016129032258064,62
