period,start,end,n_drop,pred_hash,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,average_number_of_positions,n_backtest_days
2020Q1_COVID,2020-01-01,2020-03-31,5,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.2858673726401573,-1.2741705533029823,0.011696819337174924,-2.2146701791042767,-0.546913850352257,0.4914629973602758,19.677419354838708,62
2020Q1_COVID,2020-01-01,2020-03-31,6,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.2883163851120114,-1.2743492003546446,0.013967184757366802,-2.210353737817781,-0.49789010720521104,0.5868565024103644,19.677419354838708,62
2020Q1_COVID,2020-01-01,2020-03-31,7,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.252137208615019,-1.2359744881700852,0.016162720444933942,-2.213013626225578,-0.5082829071717777,0.6791059010476531,19.677419354838708,62
2020Q1_COVID,2020-01-01,2020-03-31,8,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.033982081182169,-1.016587113241287,0.017394967940882022,-1.7619183270997674,-0.4626995890479227,0.7308810059193995,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,10,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.050371109029543,-1.0291088599019194,0.021262249127623534,-1.8222931053820914,-0.46482154932859693,0.8933718120850136,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,15,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.164196547999273,-1.1357941378620164,0.02840241013725664,-2.0759719634378273,-0.45717294493851157,1.1933785771956524,19.677419354838708,62
2020Q1_COVID,2020-01-01,2020-03-31,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.4911167824054121,-1.4609979189494475,0.030118863455964595,-2.5693809520699378,-0.508680707071176,1.2654984645363132,19.677419354838708,62
2020Q2_2021_recovery,2020-04-01,2021-12-31,1,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.22816438366148145,0.22823438876299668,7.000510151522477e-05,0.5788206911603468,-0.46533573921186167,0.0029413908199682356,20.99097065462754,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,2,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.14186886132435242,0.14221830554028084,0.00034944421592841834,0.4583703664573731,-0.372415183458136,0.014682530081025682,21.864559819413092,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,3,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.06380167952806395,0.06510476480048916,0.0013030852724252029,0.196275361323372,-0.45010520104739965,0.05475148203467328,22.44920993227991,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,4,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.09885596686523938,0.10122522718916407,0.0023692603239246907,0.3020914090691353,-0.4846759852039189,0.09954875310608471,22.952595936794584,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,5,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.15838582090286932,0.16365448838631855,0.00526866748344923,0.4845462521791392,-0.44935899802227575,0.2213725833381997,22.613995485327315,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,6,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.11344853653535814,0.1188137325814951,0.005365196046136958,0.3541369232625083,-0.4920344125357468,0.22542840529987185,23.483069977426638,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,7,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.10119583647975908,0.10862365758556601,0.007427821105806934,0.3168605240056094,-0.48363032380137316,0.31209332377340043,23.483069977426638,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,8,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.07871495322082774,0.08605889702382227,0.0073439438029945375,0.24786394945614804,-0.47590986414337755,0.3085690673527087,24.399548532731377,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,10,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.10648780710379817,0.11984123788458849,0.01335343078079032,0.3489227323048391,-0.45796026175284804,0.5610685202012721,23.532731376975168,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,15,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.10693962947284845,0.13221517987176098,0.025275550398912536,0.34638141338474016,-0.41726136016505894,1.0619979159206938,22.54176072234763,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.09836079684606971,0.12787837793791645,0.02951758109184674,0.3194375682689601,-0.37858632366309064,1.2402344996574337,22.539503386004515,443
2022_2023_post_covid,2022-01-01,2023-12-31,1,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1823943570289413,-0.18220969518638871,0.00018466184255258589,-0.7109723013754713,-0.6479926151138756,0.007758900947587383,20.942115768463072,501
2022_2023_post_covid,2022-01-01,2023-12-31,2,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.11448258291601833,-0.11159636438384085,0.0028862185321774786,-0.42122434828179794,-0.6875634547639758,0.12126968622594439,20.79441117764471,501
2022_2023_post_covid,2022-01-01,2023-12-31,3,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.08596816921487954,-0.08083622813730666,0.00513194107757288,-0.31691850670699534,-0.7057689722846965,0.21562777636860858,20.812375249501,501
2022_2023_post_covid,2022-01-01,2023-12-31,4,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.12837961936879155,-0.1228164869561666,0.0055631324126249465,-0.47322871859608023,-0.6938275789745949,0.23374505935398793,21.582834331337324,501
2022_2023_post_covid,2022-01-01,2023-12-31,5,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.11383410280934893,-0.10613762223430688,0.007696480575042047,-0.4261094451150189,-0.7153837698638156,0.3233815367664728,21.60079840319361,501
2022_2023_post_covid,2022-01-01,2023-12-31,6,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.13281798168828313,-0.12132416841803975,0.011493813270243375,-0.4852631188424929,-0.7473512966533695,0.48293333068249444,20.956087824351297,501
2022_2023_post_covid,2022-01-01,2023-12-31,7,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.06980289097814169,-0.056049806543026985,0.0137530844351147,-0.26331303418098984,-0.6281424629675734,0.5778606905510418,20.956087824351297,501
2022_2023_post_covid,2022-01-01,2023-12-31,8,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.09934209309060603,-0.0834531468829295,0.01588894620767653,-0.36711461660990563,-0.750389982506189,0.6676027818351472,20.956087824351297,501
2022_2023_post_covid,2022-01-01,2023-12-31,10,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.12725290573257717,-0.10694533380049179,0.020307571932085378,-0.47502923490331384,-0.7421512007394662,0.8532593248775392,20.954091816367267,501
2022_2023_post_covid,2022-01-01,2023-12-31,15,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.13685936112171876,-0.10760819907505975,0.029251162046659007,-0.5160302247564832,-0.7113597079882078,1.229040422128532,20.95808383233533,501
2022_2023_post_covid,2022-01-01,2023-12-31,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.12392966045901925,-0.09185551072021715,0.0320741497388021,-0.46359207464559116,-0.7081177419831322,1.3476533503698398,20.95808383233533,501
