datetime,bench,rank_1_20_excess_mean,rank_1_20_raw_mean,rank_1_20_n,rank_21_50_excess_mean,rank_21_50_raw_mean,rank_21_50_n,rank_51_100_excess_mean,rank_51_100_raw_mean,rank_51_100_n
2020-02-04,-0.0005480647087097168,1.6885995137272403e-05,-0.0005311787244863808,20,-5.8571498811943457e-05,-0.0006066362257115543,30,-0.0014261412434279919,-0.0019742059521377087,50
2020-02-05,0.00018274784088134766,-0.010739046148955822,-0.010556298308074474,20,-0.010000025853514671,-0.009817278012633324,30,-0.009448511525988579,-0.009265763685107231,50
2020-02-06,0.004934191703796387,-0.0012714117765426636,0.003662779927253723,20,-0.001791536808013916,0.0031426548957824707,30,0.002777695655822754,0.007711887359619141,50
2020-02-07,0.002909541130065918,0.011121049523353577,0.014030590653419495,20,0.0011504610301926732,0.004060002043843269,30,0.0029055189806967974,0.005815060343593359,50
2020-02-10,0.010516762733459473,0.0025205551646649837,0.013037318363785744,20,-0.002310639712959528,0.008206123486161232,30,-0.005229460075497627,0.005287302657961845,50
2020-02-11,-0.00753629207611084,0.0021861910354346037,-0.0053501008078455925,20,0.005873602814972401,-0.0016626894939690828,30,0.0031333863735198975,-0.004402905702590942,50
2020-02-12,0.002892732620239258,-0.005610740277916193,-0.002718007657676935,20,-0.0008622984169051051,0.0020304343197494745,30,-0.0033627687953412533,-0.00047003626241348684,50
2020-02-13,-0.0003605484962463379,-0.0054201423190534115,-0.005780690815299749,20,-0.0015094558475539088,-0.0018700043438002467,30,-0.005046458449214697,-0.005407006945461035,50
2020-02-14,-0.00018036365509033203,0.005773910786956549,0.005593547131866217,20,0.0038144488353282213,0.0036340851802378893,30,0.0053656576201319695,0.005185293965041637,50
2020-02-18,0.001262664794921875,0.0030385851860046387,0.004301249980926514,20,-0.0014918108936399221,-0.00022914608416613191,30,0.005391956772655249,0.006654621567577124,50
