datetime,rank_1_20_mean,rank_1_20_n,rank_21_50_mean,rank_21_50_n,rank_51_100_mean,rank_51_100_n
2020-06-18,-0.0016197680961340666,20,0.004061074927449226,30,0.00039654612191952765,50
2020-06-19,0.0019696950912475586,20,0.0038201669231057167,30,0.0016720176208764315,50
2020-06-22,-0.033295080065727234,20,-0.03880048543214798,30,-0.03181951865553856,50
2020-06-23,0.014292794279754162,20,0.011384113691747189,30,0.009349596686661243,50
2020-06-24,-0.0223128292709589,20,-0.019218066707253456,30,-0.017795715481042862,50
2020-06-25,0.021554645150899887,20,0.020382089540362358,30,0.024980328977108,50
2020-06-26,0.009767475537955761,20,0.011657658964395523,30,0.01502883993089199,50
2020-06-29,-0.008700335398316383,20,-0.0015435159439221025,30,0.005137678235769272,50
2020-06-30,0.00727107236161828,20,0.005466969683766365,30,0.003228035056963563,50
2020-07-01,0.012565714307129383,20,0.010205511003732681,30,0.010822000913321972,50
2020-07-02,-0.01710609532892704,20,-0.01735481433570385,30,-0.022299818694591522,50
2020-07-06,-0.0018094390397891402,20,-3.515879143378697e-05,30,0.001396247185766697,50
2020-07-07,-0.03890729323029518,20,-0.015372117049992085,30,-0.02268195152282715,50
2020-07-08,0.02589993178844452,20,0.01882610097527504,30,0.017307855188846588,50
2020-07-09,0.006343150045722723,20,0.008496650494635105,30,-0.0008291506674140692,50
2020-07-10,0.007743909955024719,20,0.016713649034500122,30,0.020151248201727867,50
2020-07-13,0.04690907150506973,20,0.01288218330591917,30,0.022136498242616653,50
2020-07-14,-0.0007797867292538285,20,0.0005861600511707366,30,-0.003195339348167181,50
2020-07-15,-0.0035439045168459415,20,0.003939334768801928,30,0.009919116273522377,50
2020-07-16,-0.010490396991372108,20,-0.006615296937525272,30,-0.0011100673582404852,50
2020-07-17,0.013993981294333935,20,0.014010119251906872,30,0.005421726498752832,50
2020-07-20,0.0020678460132330656,20,0.004306336399167776,30,0.00947054848074913,50
2020-07-21,0.007213854696601629,20,0.0007168253068812191,30,-0.002265536691993475,50
2020-07-22,0.0007343798642978072,20,-0.00818648561835289,30,-0.0052172159776091576,50
2020-07-23,-0.0019449591636657715,20,0.0018508791690692306,30,0.009008330292999744,50
2020-07-24,-0.007951227016746998,20,-0.0084625743329525,30,-0.0044680251739919186,50
2020-07-27,0.017274368554353714,20,0.01657501421868801,30,0.013845890760421753,50
2020-07-28,-0.0010254323715344071,20,-0.01614820957183838,30,-0.009645290672779083,50
2020-07-29,-0.004989424254745245,20,-0.0020456770434975624,30,-0.00219159247353673,50
2020-07-30,0.0039942325092852116,20,0.0014998455299064517,30,0.004074037075042725,50
2020-07-31,0.009824374690651894,20,0.011345812119543552,30,0.0037803424056619406,50
2020-08-03,0.017162788659334183,20,0.010612591169774532,30,0.008480940945446491,50
2020-08-04,-0.003794750664383173,20,0.004949929192662239,30,-0.0023541725240647793,50
2020-08-05,0.013565403409302235,20,0.009893587790429592,30,0.00834623072296381,50
2020-08-06,0.025821000337600708,20,0.015686076134443283,30,0.0023851883597671986,50
2020-08-07,-0.0004620373365469277,20,0.00030403732671402395,30,-0.00385081535205245,50
2020-08-10,-0.0008739411714486778,20,0.00040479301242157817,30,0.010856309905648232,50
2020-08-11,-0.005983620882034302,20,-0.009837152436375618,30,-0.0019700455013662577,50
2020-08-12,0.008152487687766552,20,0.008477547205984592,30,0.0028752160724252462,50
2020-08-13,-0.014825528487563133,20,-0.011056924238801003,30,-0.0014212846290320158,50
2020-08-14,-0.0122489333152771,20,-0.0076997061260044575,30,-0.0010864270152524114,50
2020-08-17,-0.004526191856712103,20,-0.005418481305241585,30,-0.005640950053930283,50
2020-08-18,-0.008067133836448193,20,-0.009341269731521606,30,-0.004303378984332085,50
2020-08-19,0.003219348145648837,20,-0.0017587085021659732,30,-0.0010223877616226673,50
2020-08-20,0.02250201441347599,20,0.016744224354624748,30,0.008640926331281662,50
2020-08-21,-0.004339077975600958,20,0.0006501515745185316,30,0.00014391541481018066,50
2020-08-24,-0.02025187574326992,20,-0.010359385050833225,30,0.0001462960208300501,50
2020-08-25,0.02118397317826748,20,0.011396990157663822,30,0.0029483961407095194,50
2020-08-26,0.011652374640107155,20,0.012394270859658718,30,0.006552329286932945,50
2020-08-27,-0.024703841656446457,20,-0.013740881346166134,30,-0.007160092703998089,50
2020-08-28,0.0040928213857114315,20,-0.0016266246093437076,30,0.00559983029961586,50
2020-08-31,0.014249935746192932,20,0.020247213542461395,30,0.021877577528357506,50
2020-09-01,-0.010269880294799805,20,-0.016024747863411903,30,-0.02273041568696499,50
2020-09-02,0.002457162830978632,20,-0.004847431089729071,30,0.0017317867605015635,50
2020-09-03,-0.03363535553216934,20,-0.021738510578870773,30,-0.013633833266794682,50
