datetime,instrument,score,label,rank
2020-03-09,P11786,0.03791131961975473,-0.0816201,39
2020-03-09,P24643,0.03791131961975473,-0.090123475,40
2020-03-09,P11891,0.03791131961975473,-0.13035107,41
2020-03-09,P32803,0.03791131961975473,-0.07331377,43
2020-03-09,P12060,0.03791131961975473,-0.07231641,45
2020-03-09,P70033,0.03791131961975473,-0.08742088,46
2020-03-09,P19583,0.03791131961975473,-0.10505211,47
2020-03-09,P89002,0.03791131961975473,-0.098804295,48
2020-03-09,P14295,0.012461077988801422,-0.08772951,49
2020-03-10,P75825,0.03791131961975473,-0.1636644,21
2020-03-10,P18428,0.03791131961975473,-0.1543408,22
2020-03-10,P25232,0.03791131961975473,-0.20812464,23
2020-03-10,P79145,0.03791131961975473,-0.31778222,24
2020-03-10,P23819,0.03791131961975473,-0.1800766,25
2020-03-10,P30940,0.03791131961975473,-0.100949705,26
2020-03-10,P32707,0.03791131961975473,-0.20239878,27
2020-03-10,P32803,0.03791131961975473,-0.12115735,28
2020-03-10,P77606,0.03791131961975473,-0.19121265,29
2020-03-10,P34746,0.03791131961975473,-0.09966022,30
2020-03-10,P84032,0.03791131961975473,-0.16984737,31
2020-03-10,P21792,0.03791131961975473,-0.1579842,33
2020-03-10,P19561,0.03791131961975473,-0.18108743,34
2020-03-10,P40125,0.03791131961975473,-0.18259287,36
2020-03-10,P18542,0.03791131961975473,-0.08372229,37
2020-03-10,P90808,0.03791131961975473,-0.15168905,38
2020-03-10,P89002,0.03791131961975473,-0.1826117,39
2020-03-10,P80080,0.03791131961975473,-0.10734582,40
2020-03-10,P62308,0.03791131961975473,-0.13070738,41
2020-03-10,P12872,0.03791131961975473,-0.27008927,42
2020-03-10,P52978,0.03791131961975473,-0.14591944,43
2020-03-10,P90979,0.03791131961975473,-0.14850616,44
2020-03-10,P57817,0.03791131961975473,-0.17270082,45
2020-03-10,P61815,0.03791131961975473,-0.15270275,46
2020-03-10,P11850,0.03791131961975473,-0.114340186,47
2020-03-10,P92239,0.03791131961975473,-0.14658898,48
2020-03-10,P12345,0.03791131961975473,-0.14685184,49
2020-03-10,P76744,0.014722054656765243,-0.0738858,50
2020-03-12,P89002,0.03791131961975473,-0.2706524,21
2020-03-12,P13936,0.03791131961975473,-0.19050455,22
2020-03-12,P66384,0.03791131961975473,-0.20444769,25
2020-03-12,P77606,0.03791131961975473,-0.20492136,26
2020-03-12,P24942,0.03791131961975473,-0.13526851,27
2020-03-12,P80204,0.03791131961975473,-0.13548553,28
2020-03-12,P79637,0.03791131961975473,-0.22257113,29
2020-03-12,P79323,0.03791131961975473,-0.08397114,30
2020-03-12,P79145,0.03791131961975473,-0.07392514,31
2020-03-12,P78987,0.03791131961975473,-0.20294416,32
2020-03-12,P81655,0.03791131961975473,-0.24663204,33
2020-03-12,P82303,0.03791131961975473,-0.14303815,34
2020-03-12,P77661,0.03791131961975473,-0.20229006,35
2020-03-12,P77462,0.03791131961975473,-0.16438359,36
2020-03-12,P19350,0.03791131961975473,-0.13608229,37
2020-03-12,P30940,0.03791131961975473,-0.12519443,38
2020-03-12,P84129,0.03791131961975473,-0.09721273,39
2020-03-12,P21792,0.03791131961975473,-0.19742763,40
2020-03-12,P85072,0.03791131961975473,-0.14425719,43
2020-03-12,P77129,0.03791131961975473,-0.19818461,44
2020-03-12,P85265,0.03791131961975473,-0.2017597,45
2020-03-12,P19561,0.03791131961975473,-0.23848414,46
