datetime,excess_return_lo,turnover_lo,excess_return_hi,turnover_hi,excess_diff_hi_minus_lo,abs_diff
2020-02-05,0.014486308673361927,0.027748642044496664,0.006611244944851289,0.10344397068030978,-0.007875063728510639,0.007875063728510639
2020-02-06,-0.0008162532220842379,0.07960413215826055,-0.001921278347846293,0.0025821044771379333,-0.0011050251257620552,0.0011050251257620552
2020-02-07,-0.010861237868185963,0.08636574685425247,-0.019715357202639307,0.0431553309746755,-0.008854119334453344,0.008854119334453344
2020-02-10,-0.003859210946431487,0.0021910956700709775,-0.0036790243800547636,0.04194254470183471,0.00018018656637672345,0.00018018656637672345
2020-02-11,0.002516735237040293,0.04681761934449427,0.007116970588284468,0.0,0.0046002353512441755,0.0046002353512441755
2020-02-12,-0.005385792699086553,0.3143144179501123,-0.0003756022232658909,0.04672977075736827,0.005010190475820662,0.005010190475820662
2020-02-13,-0.004181517701633804,0.055749487515646505,-0.004526351492329878,0.045991983275984576,-0.00034483379069607384,0.00034483379069607384
2020-02-14,-0.007664012156993852,0.2835597929795894,-0.00790392663832126,0.0,-0.0002399144813274084,0.0002399144813274084
2020-02-18,0.0002177446850651195,0.0069685933308708215,-0.006690336182499498,0.0,-0.006908080867564618,0.006908080867564618
2020-02-19,0.004646454307444583,0.0,0.006193877511541633,0.0,0.00154742320409705,0.00154742320409705
2020-02-20,-0.009625549155256364,0.09930017209972168,-0.0013493965492282,0.042979036154280406,0.008276152606028164,0.008276152606028164
2020-02-21,-0.0006492607364291179,0.19150338791204297,0.0007030516990929593,0.04316720110462602,0.0013523124355220772,0.0013523124355220772
2020-02-24,-0.007183811723890018,0.09705879458979026,-0.0031245026787581503,0.04628204170931798,0.0040593090451318675,0.0040593090451318675
2020-02-25,-0.006723275674559302,0.09084981285404337,-0.002013560895611476,0.13597047223372777,0.004709714778947827,0.004709714778947827
2020-02-26,-0.036024134659650674,0.11136722905291076,-0.03435349383347702,0.00469624537880315,0.0016706408261736513,0.0016706408261736513
2020-02-27,-0.006712333256310692,0.09253570636358176,-0.01280033425159105,0.047298163334614535,-0.006088000995280358,0.006088000995280358
2020-02-28,0.020436150734356524,0.050550057568871834,0.019430511963634052,0.22677473103040346,-0.0010056387707224716,0.0010056387707224716
2020-03-02,-0.003056796522539858,0.15523983930061117,-0.006706304290214865,0.24743901489066883,-0.003649507767675007,0.003649507767675007
2020-03-03,0.0017190254059780928,0.04449019323266487,0.010052511013505709,0.046867835704983596,0.008333485607527617,0.008333485607527617
2020-03-04,-0.0075459625660101405,0.3188012468469729,0.0028268566716043142,0.09865534858317314,0.010372819237614454,0.010372819237614454
2020-03-05,-0.012657571978588127,0.09264805017152536,-0.0024769676620253903,0.0023446185748547334,0.010180604316562737,0.010180604316562737
2020-03-06,-0.011456054172584492,0.0026109318919413805,-0.011221383414972357,0.0,0.00023467075761213554,0.00023467075761213554
2020-03-09,-0.07273342214695569,0.0,-0.07130738160251386,0.0,0.0014260405444418284,0.0014260405444418284
2020-03-10,0.005734349800900249,0.0,-0.0019487356137549983,0.0,-0.007683085414655247,0.007683085414655247
